Maturity,Price
0.083333333333333,99.73
0.333333333333333,98.79
0.583333333333333,97.87
0.833333333333333,97.21
1.08333333333333,96.33
1.33333333333333,95.48
1.58333333333333,94.52
1.83333333333333,93.69
2.08333333333333,92.86
2.33333333333333,92
2.58333333333333,91.16
2.83333333333333,90.31
3.08333333333333,89.48
3.33333333333333,88.64
3.58333333333333,87.67
3.83333333333333,87
4.08333333333333,86.14
4.33333333333333,85.12
4.58333333333333,84.41
4.83333333333333,83.41
5.08333333333333,82.71
5.33333333333333,81.77
5.58333333333333,81.07
5.83333333333333,79.57
6.08333333333333,78.68
6.33333333333333,77.69
6.58333333333333,76.79
6.83333333333333,75.86
7.08333333333333,74.91
7.33333333333333,74.02
7.58333333333333,73.11
7.83333333333333,72.26
8.08333333333333,71.41
8.33333333333333,70.5
8.58333333333333,69.71
8.83333333333333,68.91
9.08333333333333,68.02
9.33333333333333,67.2
9.58333333333333,66.41
9.83333333333333,65.66
10.0833333333333,64.88
10.3333333333333,64.04
10.5833333333333,63.18
10.8333333333333,62.46
11.0833333333333,61.64
11.3333333333333,60.79
11.5833333333333,59.93
11.8333333333333,59.21
12.0833333333333,58.43
12.3333333333333,57.66
12.5833333333333,56.87
12.8333333333333,56.24
13.0833333333333,55.5
13.3333333333333,54.75
13.5833333333333,53.9
13.8333333333333,53.26
14.0833333333333,52.58
14.3333333333333,51.91
14.5833333333333,51.28
14.8333333333333,50.65
15.0833333333333,50.03
15.3333333333333,49.29
15.5833333333333,48.69
15.8333333333333,48
16.0833333333333,47.38
16.3333333333333,46.81
16.5833333333333,46.19
16.8333333333333,45.53
17.0833333333333,44.99
17.3333333333333,44.41
17.5833333333333,43.87
17.8333333333333,43.35
18.0833333333333,42.79
18.3333333333333,42.31
18.5833333333333,41.81
18.8333333333333,41.33
19.0833333333333,40.83
19.3333333333333,40.35
19.5833333333333,39.88
19.8333333333333,39.45
20.0833333333333,38.98
20.3333333333333,38.51
20.5833333333333,38.03
20.8333333333333,37.65
21.0833333333333,37.25
21.3333333333333,36.79
21.5833333333333,36.38
21.8333333333333,36.07
22.0833333333333,35.57
22.3333333333333,35.17
22.5833333333333,34.94
22.8333333333333,34.45
23.0833333333333,34.06
23.3333333333333,33.71
23.5833333333333,33.34
23.8333333333333,33.16
24.0833333333333,33.01
24.3333333333333,32.41
24.5833333333333,32.14
24.8333333333333,31.94
25.0833333333333,31.54
25.3333333333333,31.93
25.5833333333333,30.22
